group,ts,total_count,Qlh,Qsh,Qlw,Qsw
Total,onset,122,57 (47%),22 (18%),2 (2%),41 (34%)
Total,decline,42,9 (21%),13 (31%),8 (19%),12 (29%)
MAB,onset,28,14 (50%),6 (21%),0 (0%),8 (29%)
MAB,decline,7,1 (14%),4 (57%),1 (14%),1 (14%)
GM,onset,20,6 (30%),4 (20%),1 (5%),9 (45%)
GM,decline,6,0 (0%),2 (33%),2 (33%),2 (33%)
SS,onset,13,7 (54%),1 (8%),0 (0%),5 (38%)
SS,decline,11,1 (9%),3 (27%),2 (18%),5 (45%)
CBS,onset,21,9 (43%),3 (14%),0 (0%),9 (43%)
CBS,decline,7,3 (43%),3 (43%),0 (0%),1 (14%)
GSL,onset,19,10 (53%),3 (16%),1 (5%),5 (26%)
GSL,decline,4,1 (25%),1 (25%),1 (25%),1 (25%)
NFS,onset,21,11 (52%),5 (24%),0 (0%),5 (24%)
NFS,decline,7,3 (43%),0 (0%),2 (29%),2 (29%)
Spring,onset,27,7 (26%),3 (11%),0 (0%),17 (63%)
Spring,decline,3,0 (0%),1 (33%),0 (0%),2 (67%)
Summer,onset,35,20 (57%),2 (6%),0 (0%),13 (37%)
Summer,decline,18,4 (22%),4 (22%),1 (6%),9 (50%)
Autumn,onset,38,24 (63%),9 (24%),1 (3%),4 (11%)
Autumn,decline,11,3 (27%),3 (27%),4 (36%),1 (9%)
Winter,onset,22,6 (27%),8 (36%),1 (5%),7 (32%)
Winter,decline,10,2 (20%),5 (50%),3 (30%),0 (0%)
